model,timestamp,f1,fid,is_mean,is_std,lpips
cgan,20251127_212529,21.641623175835637,232.65437202091726,2.9271838665008545,0.46865856647491455,0.6644557696263764
conditional_diffusion,20251127_010406,12.32582306966745,190.6741119095114,2.2763009071350098,0.1013721153140068,0.740952003463436
prebuilt_diffusion,20251127_084704,14.246139272265172,208.2393784785008,4.154365062713623,0.29366016387939453,0.7049564692533001
prebuilt_gan,20251127_083151,19.512740852551186,217.85338480743155,1.7253477573394775,0.1938808113336563,0.6527971116490346
